id,date,notes,topics,link,audio_url,remaining_lessons,created_at,updated_at
116b7cda-2e13-41b0-bc3d-f10700be8c41,2025-04-18,"На уроке повторили
• Save Your Tears 70, 80, 90 %
• Believer 70, 85 %
• Supermassive Black Hole 75, 90 %
• The Chain",,,,2,2025-06-07 20:41:37.744552+00,2025-06-07 20:41:37.744552+00
45df175d-a77d-4ba6-8a16-68a2c5f62fdd,2025-04-02,"Save Your Tears
• Во 2 части куплета добавляем рэйки - скребки
• Прехорус и первую половину припева подобрали на слух, записали на видео. Повтор припева будет в другой октаве, плюс доделаем штрихи в припеве в следующий раз",,,,0,2025-06-07 20:41:37.744552+00,2025-06-07 20:41:37.744552+00
54528beb-ef68-4efd-9349-97e516eeb6a5,2025-04-09,"Save Your Tears - повторяющуюся фразу припева по нотам перенесли на октаву вверх, подобрали припев до конца, записали на видео. Следить, чтобы глушить струны. Внимательно с попаданием в ноты в бэндах - ориентир - предыдущие ноты. В бэндах держим прижатым первый палец. Сыграли всё с музыкой",,,,1,2025-06-07 20:41:37.744552+00,2025-06-07 20:41:37.744552+00
64489936-f682-4317-82b6-5053f1f431e3,2025-04-23,"The Last Of Us - вспомнили, повторили, сыграли от начала до конца
Save Your Tears - повторили на уроке и сыграли с музыкой",,,,3,2025-06-07 20:41:37.744552+00,2025-06-07 20:41:37.744552+00
6b70bdc5-b9db-4492-b270-01ce508fa0fe,2025-06-08,"- Графити Фолс - на уроке подобрали определили тональность (ре минор), далее сыграли гамму ре минор в 5 позиции в 2 октавы, затем по ступеням гаммы подобрали мелодию песни (так же в 5 позиции), записали на видео. Во время игры думаем о ступеньках, стараемся запомнить их звучание относительно друг друга внутри мелодии, запомнить их нахождение на грифе внутри гаммы. Самостоятельно либо в табы записать мелодию, либо хотя бы просто ступеньками (цифрами) или нотами (просто буквами: ре ми фа и т.д.) 

- Все песни повторять",,,,0,2025-06-08 11:28:37.849826+00,2025-06-08 19:29:04.257731+00
6d717784-b41a-44d0-bf61-eb9a70dc6c42,2025-03-19,"The Weeknd - Save Your Tears - играем в тональности до мажор (в до мажоре и ля миноре нет знаков при ключе - диезов и бемолей нет), на уроке подобрали на слух и проанализировали по ступеням первые 2 фразы, записали их на видео
• На уроке повторили Believer (сыграли с музыкой в темпе 100 %), Johnny B Goode",,,,3,2025-06-07 20:33:19.51099+00,2025-06-07 20:33:19.51099+00
6f567c30-e56d-480a-b59f-64aab0945172,2025-05-13,На уроке повторили и закрепили The Last Of Us (записали на видео) и Save Your Tears (играли с музыкой),,,,0,2025-06-07 20:41:37.744552+00,2025-06-07 20:41:37.744552+00
79b15bd8-bed5-47c0-b5ed-dda91c55c8f1,2025-04-23,"The Last Of Us - вспомнили, повторили, сыграли от начала до конца
Save Your Tears - повторили на уроке и сыграли с музыкой",,,,4,2025-06-07 20:33:19.51099+00,2025-06-07 20:33:19.51099+00
83411fe4-af15-42a2-b812-feebbae90cdc,2025-03-19,"The Weeknd - Save Your Tears - играем в тональности до мажор (в до мажоре и ля миноре нет знаков при ключе - диезов и бемолей нет), на уроке подобрали на слух и проанализировали по ступеням первые 2 фразы, записали их на видео
• На уроке повторили Believer (сыграли с музыкой в темпе 100 %), Johnny B Goode",,,,2,2025-06-07 20:41:37.744552+00,2025-06-07 20:41:37.744552+00
894108bc-a40d-4f3c-bb58-ca061bb8b30f,2025-03-12,"• Believer - на уроке сыграли в темпах 80 и 90 %.
• Фраза перед началом припева - 1 нота должна быть длинной (бэнд), далее быстрые ноты со срывом и стремимся сразу быстро попасть на 14 лад 2 струны. Во время игры этой фразы глушим 4 струну указательным пальцем левой руки - так делаем всегда при игре бэндов
• Psycho - на уроке сыграли в темпах 70 и 90 %, тренировали медленно лиги в куплете - играем их неспеша, но чётко простукивая пальцами в нужное время
• Zombie - повторили
• Johnny B Goode - повторили
• Медиатор держим лучше, чтобы указательный палец был в середине медиатора, а не с краю",,,,2,2025-06-07 20:33:19.51099+00,2025-06-07 20:33:19.51099+00
