id,title,artist,status,tabs_link,video_link,recording_link,artwork_url,notes,created_at,updated_at
01516db7-40ab-48b2-8235-ada054dfa378,Rollin',Limp Bizkit,studied,,,,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/b2/70/c8/b270c885-3e28-3dfa-3bd3-faa6e5fa8540/15UMGIM36851.rgb.jpg/600x600bb.jpg,,2025-06-07 20:19:02.182791+00,2025-06-07 20:50:37.934421+00
02f57a00-b504-4b95-bbf0-aab8e04e3686,The man who sold the world,Nirvana,studied,,,,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/7b/58/c2/7b58c21a-2b51-2bb2-e59a-9bb9b96ad8c3/00602567924166.rgb.jpg/600x600bb.jpg,,2025-06-07 20:20:59.656505+00,2025-06-07 20:50:37.916469+00
03b41174-953a-4f1b-ad11-336e3db556b5,Perfect,Ed Sheeran,recorded,https://cloud.mail.ru/public/2hQ1/qaP5rbH8X,https://youtu.be/uhgG-jDFhto,,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/15/e6/e8/15e6e8a4-4190-6a8b-86c3-ab4a51b88288/190295851286.jpg/600x600bb.jpg,,2025-06-07 20:14:55.315185+00,2025-06-07 20:50:37.890993+00
0982d8d5-e2e7-4b25-91a0-1c0b286d4b6d,Break my baby,KALEO,studied,https://www.youtube.com/watch?v=y8q4zPjXd0M,,,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/6d/1d/fb/6d1dfb0d-82ac-81b5-64d2-6bdcb53424d6/075679824813.jpg/600x600bb.jpg,,2025-06-07 20:20:59.656505+00,2025-06-07 20:50:37.691502+00
0aa11513-bc30-409d-b749-ebc15ef0209b,Кукушка,Кино,studied,https://cloud.mail.ru/public/4aS7/fec3NLZ4F,https://www.youtube.com/watch?v=M6rWKdD5EtI&t=254s,,,,2025-06-07 20:19:02.182791+00,2025-06-07 20:29:18.041602+00
119c4511-c04b-4630-89b1-d8d59c0d73fc,Thunderstruck,AC/DC,studied,,,,https://is1-ssl.mzstatic.com/image/thumb/Features114/v4/fc/c2/f8/fcc2f850-1d81-7440-c0a0-de7fcef1e911/dj.rrgizfic.jpg/600x600bb.jpg,,2025-06-07 20:20:59.656505+00,2025-06-07 20:50:37.874494+00
15936933-0c10-4cf7-87a7-15aac6316588,Gravity Falls OST,Soundtrack,studied,https://cloud.mail.ru/public/2AiE/4m7cspPbe,,,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/f7/4a/98/f74a986d-c137-9472-e150-327b009120a1/00050087292683.rgb.jpg/600x600bb.jpg,,2025-06-07 20:19:02.182791+00,2025-06-07 20:50:37.941521+00
16e92e10-64e8-4cc7-8838-fa201239e8cd,Crystalised,The xx,recorded,https://www.youtube.com/watch?v=Pib8eYDSFEI,,,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/8e/8d/ea/8e8dea46-dad8-7cd2-b539-6fe4e53eb498/634904045067.png/600x600bb.jpg,,2025-06-07 20:16:03.477159+00,2025-06-07 20:50:37.920578+00
17cab5fa-f2cb-4f2d-abb6-8c71f1502eea,Somebody Told Me,The Killers,studied,https://www.youtube.com/watch?v=7ZAw--S_STQ,,,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/07/1a/5a/071a5aee-6e42-060c-35b9-6a6e45b9ea59/06UMGIM10441.rgb.jpg/600x600bb.jpg,,2025-06-07 20:20:59.656505+00,2025-06-07 20:50:37.923656+00
1bcefdd6-4a67-4a1f-931e-855e3fbc2f1c,Witcher OST,Soundtrack,recorded,https://cloud.mail.ru/public/38hd/5pKqC8VhT,https://www.youtube.com/watch?v=U6mmCV2WUQk&list=PL31nbWbtligVxrrhN3sPhL8ZyvdswsKLN&index=11&t=0s,https://youtu.be/TIRv0V9-MGU,https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/2b/55/5f/2b555f18-58f2-019f-744b-339241fc3b66/075597957570.jpg/600x600bb.jpg,,2025-06-07 20:14:55.315185+00,2025-06-07 20:50:37.762827+00
1be5e850-3da4-4951-905b-1342b8b72c0e,Nothing Else Matters,Metallica,studied,https://cloud.mail.ru/public/2wB1/2T9y8Fvo8,,,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/18/93/db/1893db5c-ddd1-b95c-3112-b9b83bcceab0/0093624986553.jpg/600x600bb.jpg,,2025-06-07 20:19:02.182791+00,2025-06-07 20:50:37.562723+00
